Appendable_ThreadSafe @ AnnotationAppender.java:726: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 24 Remained 
Iterator_RemoveOnce @ TypeWriter.java:1238: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ TypeWriter.java:1283: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ TypeWriter.java:5955: 6 Unique Traces, 55 Redundant Traces, 4 Preserved, 12 Remained 
Iterator_RemoveOnce @ TypeWriter.java:5958: 5 Unique Traces, 56 Redundant Traces, 5 Preserved, 44 Remained 
List_UnsynchronizedSubList @ AnnotationAppender.java:643: 1 Unique Traces, 178 Redundant Traces, 1 Preserved, 24 Remained 
List_UnsynchronizedSubList @ ParameterList.java:536: 1 Unique Traces, 1918 Redundant Traces, 1 Preserved, 109 Remained 
Map_CollectionViewAdd @ ClassInjector.java:115: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ ClassInjector.java:120: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ ClassInjector.java:242: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ Implementation.java:900: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 33 Remained 
Map_CollectionViewAdd @ Implementation.java:931: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 42 Remained 
Map_CollectionViewAdd @ Implementation.java:943: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 12 Remained 
Map_CollectionViewAdd @ Implementation.java:946: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ Implementation.java:949: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 23 Remained 
Map_CollectionViewAdd @ MethodCallProxy.java:171: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 45 Remained 
Map_CollectionViewAdd @ MethodCallProxy.java:173: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 38 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1019: 1 Unique Traces, 100 Redundant Traces, 1 Preserved, 39 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1034: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1071: 6 Unique Traces, 119 Redundant Traces, 4 Preserved, 19 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1234: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 1 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1251: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1855: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1963: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ MethodRegistry.java:474: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 46 Remained 
Map_CollectionViewAdd @ MethodRegistry.java:738: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 60 Remained 
Map_CollectionViewAdd @ MethodRegistry.java:990: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 48 Remained 
Map_CollectionViewAdd @ TypeResolutionStrategy.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_UnsafeIterator @ ClassInjector.java:115: 5 Unique Traces, 3 Redundant Traces, 3 Preserved, 1 Remained 
Map_UnsafeIterator @ ClassInjector.java:120: 5 Unique Traces, 3 Redundant Traces, 3 Preserved, 1 Remained 
Map_UnsafeIterator @ ClassInjector.java:242: 5 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ DynamicType.java:2910: 6 Unique Traces, 51 Redundant Traces, 3 Preserved, 4 Remained 
Map_UnsafeIterator @ ElementMatchers.java:345: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 14 Remained 
Map_UnsafeIterator @ Implementation.java:931: 6 Unique Traces, 116 Redundant Traces, 3 Preserved, 14 Remained 
Map_UnsafeIterator @ Implementation.java:943: 6 Unique Traces, 116 Redundant Traces, 2 Preserved, 6 Remained 
Map_UnsafeIterator @ Implementation.java:946: 2 Unique Traces, 120 Redundant Traces, 2 Preserved, 8 Remained 
Map_UnsafeIterator @ Implementation.java:949: 2 Unique Traces, 120 Redundant Traces, 2 Preserved, 5 Remained 
Map_UnsafeIterator @ MethodCallProxy.java:173: 7 Unique Traces, 107 Redundant Traces, 5 Preserved, 25 Remained 
Map_UnsafeIterator @ MethodGraph.java:1019: 5 Unique Traces, 500 Redundant Traces, 3 Preserved, 22 Remained 
Map_UnsafeIterator @ MethodGraph.java:1034: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 4 Remained 
Map_UnsafeIterator @ MethodGraph.java:1234: 6 Unique Traces, 14 Redundant Traces, 5 Preserved, 4 Remained 
Map_UnsafeIterator @ MethodGraph.java:1251: 9 Unique Traces, 11 Redundant Traces, 9 Preserved, 10 Remained 
Map_UnsafeIterator @ MethodRegistry.java:738: 6 Unique Traces, 116 Redundant Traces, 5 Preserved, 56 Remained 
Map_UnsafeIterator @ TypeResolutionStrategy.java:102: 5 Unique Traces, 3 Redundant Traces, 3 Preserved, 1 Remained 
Scanner_ManipulateAfterClose @ DynamicTimeWarpingDistanceTest.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Scanner_ManipulateAfterClose @ DynamicTimeWarpingDistanceTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Scanner_ManipulateAfterClose @ LongestCommonSubsequenceDistanceTest.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Scanner_ManipulateAfterClose @ LongestCommonSubsequenceDistanceTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Scanner_ManipulateAfterClose @ MatrixProfileDistanceTest.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Scanner_ManipulateAfterClose @ MatrixProfileDistanceTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnotationAppender.java:723: 1 Unique Traces, 1006 Redundant Traces, 1 Preserved, 143 Remained 
StringBuilder_ThreadSafe @ AnnotationAppender.java:726: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 30 Remained 
StringBuilder_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ ClassFileVersion.java:530: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Complex.java:1297: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ ExceptionContext.java:178: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ Implementation.java:985: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 43 Remained 
StringBuilder_ThreadSafe @ Implementation.java:1162: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ JavaDispatcher.java:222: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ JavaDispatcher.java:1279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ JavaDispatcher.java:1333: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LocalizedFormats.java:397: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
StringBuilder_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 146 Redundant Traces, 1 Preserved, 52 Remained 
StringBuilder_ThreadSafe @ MethodDescription.java:523: 7 Unique Traces, 487 Redundant Traces, 3 Preserved, 48 Remained 
StringBuilder_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 46 Remained 
StringBuilder_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ RandomString.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SignatureWriter.java:117: 29 Unique Traces, 112 Redundant Traces, 29 Preserved, 112 Remained 
StringBuilder_ThreadSafe @ SignatureWriter.java:126: 3 Unique Traces, 171 Redundant Traces, 2 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ SignatureWriter.java:158: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ Type.java:548: 4 Unique Traces, 63 Redundant Traces, 2 Preserved, 48 Remained 
StringBuilder_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Type.java:582: 23 Unique Traces, 158 Redundant Traces, 23 Preserved, 158 Remained 
StringBuilder_ThreadSafe @ Type.java:616: 2 Unique Traces, 64 Redundant Traces, 2 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ Type.java:642: 1 Unique Traces, 2529 Redundant Traces, 1 Preserved, 139 Remained 
StringBuilder_ThreadSafe @ Type.java:644: 1 Unique Traces, 617 Redundant Traces, 1 Preserved, 39 Remained 
StringBuilder_ThreadSafe @ TypeDescription.java:8287: 1 Unique Traces, 341 Redundant Traces, 1 Preserved, 48 Remained 
StringBuilder_ThreadSafe @ TypeDescription.java:9298: 2 Unique Traces, 968 Redundant Traces, 1 Preserved, 69 Remained 
StringBuilder_ThreadSafe @ TypeDescription.java:9313: 1 Unique Traces, 349 Redundant Traces, 1 Preserved, 38 Remained 
