Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ DynamicType.java:2962: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ DynamicType.java:5688: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_RemoveOnce @ DynamicType.java:6089: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ DynamicType.java:6100: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:132: 1 Unique Traces, 192 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:145: 4 Unique Traces, 630 Redundant Traces, 2 Preserved, 38 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:200: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 47 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:213: 4 Unique Traces, 161 Redundant Traces, 4 Preserved, 15 Remained 
Iterator_RemoveOnce @ ElementMatchers.java:601: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ FieldLocator.java:323: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 41 Remained 
Iterator_RemoveOnce @ FieldRegistry.java:133: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_RemoveOnce @ FieldRegistry.java:257: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ FilterableList.java:124: 9 Unique Traces, 147 Redundant Traces, 5 Preserved, 25 Remained 
Iterator_RemoveOnce @ ImmutableStackTest.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ImmutableStackTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ImmutableStackTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ImmutableStackTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Implementation.java:415: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_RemoveOnce @ Implementation.java:1227: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ Implementation.java:1239: 2 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ LatentMatcher.java:336: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:114: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:128: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:205: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:217: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:470: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:483: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:173: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:319: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:407: 2 Unique Traces, 14 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ MethodConstant.java:140: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_RemoveOnce @ MethodDelegation.java:949: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:538: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:984: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:1092: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_RemoveOnce @ MethodDescription.java:524: 2 Unique Traces, 32 Redundant Traces, 2 Preserved, 31 Remained 
Iterator_RemoveOnce @ MethodDescription.java:549: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 22 Remained 
Iterator_RemoveOnce @ MethodDescription.java:1987: 2 Unique Traces, 30 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ MethodGraph.java:641: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ MethodGraph.java:714: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1019: 1 Unique Traces, 219 Redundant Traces, 1 Preserved, 22 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1189: 6 Unique Traces, 6 Redundant Traces, 6 Preserved, 6 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1212: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1234: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1251: 8 Unique Traces, 3 Redundant Traces, 7 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodList.java:89: 2 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:458: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:479: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:483: 4 Unique Traces, 42 Redundant Traces, 4 Preserved, 11 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:505: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:508: 3 Unique Traces, 21 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:738: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_RemoveOnce @ MethodVariableAccess.java:233: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_RemoveOnce @ ModifierContributor.java:202: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 16 Remained 
Iterator_RemoveOnce @ MultipleParentClassLoader.java:353: 3 Unique Traces, 6 Redundant Traces, 3 Preserved, 6 Remained 
Iterator_RemoveOnce @ MultipleParentClassLoader.java:381: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_RemoveOnce @ MultipleParentClassLoader.java:389: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ NonLeafHelper.java:82: 4 Unique Traces, 102259 Redundant Traces, 4 Preserved, 5191 Remained 
Iterator_RemoveOnce @ OperatorGroupByEvicting.java:255: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ParameterList.java:82: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ ParameterList.java:95: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_RemoveOnce @ ParameterList.java:106: 3 Unique Traces, 437 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_RemoveOnce @ ParameterList.java:536: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ RTree.java:492: 7 Unique Traces, 4125 Redundant Traces, 3 Preserved, 234 Remained 
Iterator_RemoveOnce @ RTree.java:542: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RTree.java:557: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RTree.java:955: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_RemoveOnce @ RTreeTest.java:645: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RxJavaPlugins.java:301: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ StackManipulation.java:216: 6 Unique Traces, 363 Redundant Traces, 5 Preserved, 58 Remained 
Iterator_RemoveOnce @ StackManipulation.java:229: 4 Unique Traces, 324 Redundant Traces, 2 Preserved, 37 Remained 
Iterator_RemoveOnce @ StackManipulation.java:242: 9 Unique Traces, 193 Redundant Traces, 2 Preserved, 14 Remained 
Iterator_RemoveOnce @ SubclassDynamicTypeBuilder.java:242: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:140: 3 Unique Traces, 39 Redundant Traces, 3 Preserved, 11 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Transformer.java:635: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ Transformer.java:648: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ TypeAttributeAppender.java:87: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_RemoveOnce @ TypeCache.java:454: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ TypeDescription.java:5148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TypeDescription.java:7951: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 5 Remained 
Iterator_RemoveOnce @ TypeList.java:99: 3 Unique Traces, 22 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_RemoveOnce @ TypeList.java:302: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 22 Remained 
Iterator_RemoveOnce @ TypeList.java:324: 3 Unique Traces, 76 Redundant Traces, 3 Preserved, 20 Remained 
Iterator_RemoveOnce @ TypeList.java:335: 4 Unique Traces, 351 Redundant Traces, 2 Preserved, 22 Remained 
Iterator_RemoveOnce @ TypeList.java:346: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_RemoveOnce @ TypeResolutionStrategy.java:102: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ TypeWriter.java:6039: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_RemoveOnce @ TypeWriter.java:6042: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 6 Remained 
Iterator_RemoveOnce @ Visualizer.java:74: 8 Unique Traces, 20445 Redundant Traces, 8 Preserved, 20444 Remained 
Iterator_RemoveOnce @ Visualizer.java:87: 7 Unique Traces, 0 Redundant Traces, 7 Preserved, 0 Remained 
ListIterator_RemoveOnce @ Comparators.java:63: 6 Unique Traces, 77334 Redundant Traces, 2 Preserved, 3976 Remained 
ListIterator_RemoveOnce @ Util.java:87: 6 Unique Traces, 13183 Redundant Traces, 4 Preserved, 697 Remained 
ListIterator_RemoveOnce @ Visualizer.java:74: 5 Unique Traces, 9094 Redundant Traces, 4 Preserved, 551 Remained 
List_UnsynchronizedSubList @ AnnotationAppender.java:643: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 36 Remained 
List_UnsynchronizedSubList @ ParameterList.java:536: 1 Unique Traces, 147 Redundant Traces, 1 Preserved, 27 Remained 
List_UnsynchronizedSubList @ RTree.java:398: 19 Unique Traces, 402 Redundant Traces, 2 Preserved, 27 Remained 
List_UnsynchronizedSubList @ RTree.java:404: 9 Unique Traces, 13223 Redundant Traces, 4 Preserved, 675 Remained 
List_UnsynchronizedSubList @ RTree.java:409: 15 Unique Traces, 4638 Redundant Traces, 5 Preserved, 265 Remained 
List_UnsynchronizedSubList @ RTreeTest.java:438: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 45 Remained 
Map_CollectionViewAdd @ ClassInjector.java:115: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ ClassInjector.java:120: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ ClassInjector.java:242: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ Implementation.java:1196: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Map_CollectionViewAdd @ Implementation.java:1227: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Map_CollectionViewAdd @ Implementation.java:1239: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 8 Remained 
Map_CollectionViewAdd @ Implementation.java:1242: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Map_CollectionViewAdd @ Implementation.java:1245: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 6 Remained 
Map_CollectionViewAdd @ MethodCallProxy.java:171: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Map_CollectionViewAdd @ MethodCallProxy.java:173: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1019: 1 Unique Traces, 54 Redundant Traces, 1 Preserved, 27 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1071: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1212: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1234: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1251: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1855: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ MethodGraph.java:1963: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ MethodRegistry.java:474: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Map_CollectionViewAdd @ MethodRegistry.java:738: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 9 Remained 
Map_CollectionViewAdd @ MethodRegistry.java:990: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Map_CollectionViewAdd @ OperatorGroupByEvicting.java:255: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ RxJavaPlugins.java:301: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ TypeResolutionStrategy.java:102: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_UnsafeIterator @ ClassInjector.java:115: 3 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ ClassInjector.java:120: 3 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ ClassInjector.java:242: 3 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ DynamicType.java:2962: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Map_UnsafeIterator @ ElementMatchers.java:345: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 4 Remained 
Map_UnsafeIterator @ Implementation.java:1227: 5 Unique Traces, 17 Redundant Traces, 3 Preserved, 6 Remained 
Map_UnsafeIterator @ Implementation.java:1239: 4 Unique Traces, 18 Redundant Traces, 3 Preserved, 8 Remained 
Map_UnsafeIterator @ Implementation.java:1242: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 8 Remained 
Map_UnsafeIterator @ Implementation.java:1245: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 5 Remained 
Map_UnsafeIterator @ MethodCallProxy.java:173: 3 Unique Traces, 13 Redundant Traces, 2 Preserved, 5 Remained 
Map_UnsafeIterator @ MethodGraph.java:1019: 5 Unique Traces, 270 Redundant Traces, 3 Preserved, 21 Remained 
Map_UnsafeIterator @ MethodGraph.java:1212: 4 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ MethodGraph.java:1234: 6 Unique Traces, 2 Redundant Traces, 3 Preserved, 1 Remained 
Map_UnsafeIterator @ MethodGraph.java:1251: 10 Unique Traces, 9 Redundant Traces, 10 Preserved, 9 Remained 
Map_UnsafeIterator @ MethodRegistry.java:738: 5 Unique Traces, 17 Redundant Traces, 4 Preserved, 5 Remained 
Map_UnsafeIterator @ OperatorGroupByEvicting.java:255: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ RxJavaPlugins.java:301: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ TypeResolutionStrategy.java:102: 3 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
OutputStream_ManipulateAfterClose @ KryoSerializationTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ SerializerFlatBuffersTest.java:84: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
OutputStream_ManipulateAfterClose @ Serializers.java:170: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ Utilities.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnnotationAppender.java:723: 1 Unique Traces, 127 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ ClassFileVersion.java:545: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConstructorAccess.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConstructorAccess.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ Implementation.java:1281: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ Implementation.java:1458: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ JavaDispatcher.java:226: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ JavaDispatcher.java:1316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ JavaDispatcher.java:1383: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ MethodDescription.java:523: 3 Unique Traces, 91 Redundant Traces, 3 Preserved, 40 Remained 
StringBuilder_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ NodePosition.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NonLeafFlatBuffers.java:167: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ObservableSplit.java:109: 1 Unique Traces, 227 Redundant Traces, 1 Preserved, 68 Remained 
StringBuilder_ThreadSafe @ PointFloat.java:73: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ RTree.java:942: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ RTree.java:950: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:606: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:723: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:727: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:742: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:746: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:784: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:786: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:997: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ RTreeTest.java:1008: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ RandomString.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RectangleDouble.java:84: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ RectangleFloat.java:133: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ RxJavaPlugins.java:293: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ SerializerFlatBuffersTest.java:85: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SerializerFlatBuffersTest.java:87: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SerializerFlatBuffersTest.java:98: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SerializerFlatBuffersTest.java:103: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ SignatureWriter.java:123: 5 Unique Traces, 19 Redundant Traces, 4 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ SignatureWriter.java:132: 2 Unique Traces, 44 Redundant Traces, 2 Preserved, 18 Remained 
StringBuilder_ThreadSafe @ SignatureWriter.java:164: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ Type.java:548: 3 Unique Traces, 10 Redundant Traces, 3 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Type.java:582: 8 Unique Traces, 44 Redundant Traces, 8 Preserved, 44 Remained 
StringBuilder_ThreadSafe @ Type.java:616: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Type.java:642: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ Type.java:644: 1 Unique Traces, 180 Redundant Traces, 1 Preserved, 59 Remained 
StringBuilder_ThreadSafe @ TypeDescription.java:8371: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ Util.java:76: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ BoundedPriorityQueue.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ ConstructorAccess.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ ImageSaver.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ ImageSaverTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ ImmutableStack.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ OnSubscribeSearchTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ OperatorBoundedPriorityQueueTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ OperatorBoundedPriorityQueueTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ Preconditions.java:15: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Throwable_InitCauseOnce @ Preconditions.java:32: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ Preconditions.java:37: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Throwable_InitCauseOnce @ SerializerFlatBuffers.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ SerializerFlatBuffersTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
