Appendable_ThreadSafe @ AClassDefineSingleTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExpressParse.java:318: 12 Unique Traces, 324038 Redundant Traces, 2 Preserved, 16257 Remained 
Iterator_HasNext @ ForInstructionFactory.java:82: 2 Unique Traces, 23 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_HasNext @ ForInstructionFactory.java:85: 2 Unique Traces, 23 Redundant Traces, 2 Preserved, 22 Remained 
Iterator_HasNext @ InjectModule.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InjectModule.java:154: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InjectModule.java:167: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InjectModule.java:180: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InjectModule.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InjectModule.java:203: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InstructionSet.java:156: 5 Unique Traces, 110515 Redundant Traces, 2 Preserved, 5526 Remained 
Iterator_HasNext @ InstructionSet.java:294: 5 Unique Traces, 10273 Redundant Traces, 1 Preserved, 559 Remained 
Iterator_HasNext @ LoopFunctionTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ LoopFunctionTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ LoopFunctionTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MockModule.java:154: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ MockModule.java:165: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ MockModule.java:179: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ModulesLoader.java:104: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ModulesLoader.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ModulesLoader.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ModulesLoader.java:146: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ModulesLoader.java:216: 2 Unique Traces, 7 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ModulesLoader.java:235: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ModulesRepository.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ ModulesRepository.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ NodeType.java:91: 16 Unique Traces, 114098 Redundant Traces, 5 Preserved, 5666 Remained 
Iterator_HasNext @ NodeTypeManager.java:157: 7 Unique Traces, 359 Redundant Traces, 4 Preserved, 32 Remained 
Iterator_HasNext @ OperatorIn.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PropertyUtilsBean.java:2244: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ QLExpressRunStrategy.java:222: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ QLMatchResultTree.java:67: 12 Unique Traces, 324051 Redundant Traces, 1 Preserved, 16336 Remained 
Iterator_HasNext @ QLMatchResultTree.java:73: 10 Unique Traces, 102096 Redundant Traces, 2 Preserved, 5098 Remained 
Iterator_HasNext @ QLPattern.java:125: 11 Unique Traces, 14810479 Redundant Traces, 2 Preserved, 59999 Remained 
Iterator_HasNext @ QLPattern.java:186: 17 Unique Traces, 4452324 Redundant Traces, 6 Preserved, 99994 Remained 
Iterator_HasNext @ RatingTest.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RatingWithPropertyTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ReflectionUtils.java:260: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ ShortCircuitLogicTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ShortCircuitLogicTest.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleApplicationEventMulticaster.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleShortCircuitLogicTest.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleShortCircuitLogicTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SpringModule.java:275: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SpringModule.java:286: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ SpringModule.java:309: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ SpringModule.java:321: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ SpringModule.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SpringModule.java:359: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ SpringModule.java:385: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ SpringModule.java:396: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ StringUtils.java:1052: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ StringUtils.java:3068: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SubjectManager.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SubjectManager.java:28: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SuppressPropertiesBeanIntrospector.java:87: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ Unitils.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Unitils.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Unitils.java:258: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ Unitils.java:272: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ Unitils.java:286: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ Unitils.java:300: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ Unitils.java:314: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ AbstractAutowireCapableBeanFactory.java:349: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ AbstractAutowireCapableBeanFactory.java:360: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ AbstractAutowireCapableBeanFactory.java:742: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ AbstractBeanFactory.java:907: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ AddMethodInvokeTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ AppendingClassFieldManager.java:19: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ AppendingClassMethodManager.java:22: 2 Unique Traces, 18 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_RemoveOnce @ AutowireUtils.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ClassUtils.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ClassUtils.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CompileMemoryTest.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ConfigurationLoader.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DefaultListableBeanFactory.java:419: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DefaultListableBeanFactory.java:519: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ DefaultUnitilsTransactionManager.java:181: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ DemoShowTest.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExpressLoader.java:69: 5 Unique Traces, 10020 Redundant Traces, 2 Preserved, 520 Remained 
Iterator_RemoveOnce @ ExpressLoader.java:71: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ ExpressPackage.java:98: 3 Unique Traces, 843 Redundant Traces, 2 Preserved, 65 Remained 
Iterator_RemoveOnce @ ExpressParse.java:302: 10 Unique Traces, 1531 Redundant Traces, 5 Preserved, 83 Remained 
Iterator_RemoveOnce @ ExpressParse.java:318: 12 Unique Traces, 324038 Redundant Traces, 2 Preserved, 16284 Remained 
Iterator_RemoveOnce @ ForInstructionFactory.java:82: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ ForInstructionFactory.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ InstructionSet.java:156: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 10 Remained 
Iterator_RemoveOnce @ InstructionSet.java:294: 4 Unique Traces, 15 Redundant Traces, 4 Preserved, 15 Remained 
Iterator_RemoveOnce @ LoopFunctionTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ LoopFunctionTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ LoopFunctionTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesLoader.java:104: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesLoader.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesLoader.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesLoader.java:146: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesLoader.java:216: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesLoader.java:237: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModulesRepository.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ ModulesRepository.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ NodeType.java:91: 12 Unique Traces, 114102 Redundant Traces, 2 Preserved, 5660 Remained 
Iterator_RemoveOnce @ NodeTypeManager.java:157: 7 Unique Traces, 359 Redundant Traces, 4 Preserved, 32 Remained 
Iterator_RemoveOnce @ OperatorIn.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PropertyUtilsBean.java:2244: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ QLExpressRunStrategy.java:222: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ QLMatchResultTree.java:67: 11 Unique Traces, 323252 Redundant Traces, 1 Preserved, 16032 Remained 
Iterator_RemoveOnce @ QLMatchResultTree.java:73: 9 Unique Traces, 102087 Redundant Traces, 1 Preserved, 5075 Remained 
Iterator_RemoveOnce @ QLPattern.java:125: 6 Unique Traces, 14810484 Redundant Traces, 1 Preserved, 19999 Remained 
Iterator_RemoveOnce @ QLPattern.java:186: 10 Unique Traces, 4452331 Redundant Traces, 5 Preserved, 59996 Remained 
Iterator_RemoveOnce @ RatingTest.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RatingWithPropertyTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ReflectionUtils.java:260: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ ShortCircuitLogicTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ShortCircuitLogicTest.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleShortCircuitLogicTest.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleShortCircuitLogicTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SpringModule.java:385: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ StringUtils.java:1053: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ StringUtils.java:3071: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SubjectManager.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SubjectManager.java:28: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ SuppressPropertiesBeanIntrospector.java:87: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ Unitils.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Unitils.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Unitils.java:258: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Unitils.java:272: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Unitils.java:286: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Unitils.java:300: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Unitils.java:314: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
ListIterator_RemoveOnce @ PropertyUtilsBean.java:2244: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
ListIterator_RemoveOnce @ StringUtils.java:1053: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ AbstractApplicationContext.java:701: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AddMethodInvokeTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AttributeAccessorSupport.java:68: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ ClassUtils.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ ClassUtils.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ ConfigurationLoader.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ ConstructorArgumentValues.java:73: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ DbUnitModule.java:428: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ DefaultIntrospectionContext.java:106: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Map_CollectionViewAdd @ DefaultSingletonBeanRegistry.java:505: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ ExpressLoader.java:69: 15 Unique Traces, 259 Redundant Traces, 6 Preserved, 50 Remained 
Map_CollectionViewAdd @ ExpressLoader.java:79: 1 Unique Traces, 110516 Redundant Traces, 1 Preserved, 5607 Remained 
Map_CollectionViewAdd @ InstructionSet.java:70: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Map_CollectionViewAdd @ InstructionSet.java:81: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ InstructionSet.java:114: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ InstructionSet.java:156: 1 Unique Traces, 110300 Redundant Traces, 1 Preserved, 5571 Remained 
Map_CollectionViewAdd @ InstructionSet.java:220: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 10 Remained 
Map_CollectionViewAdd @ InstructionSet.java:294: 13 Unique Traces, 231 Redundant Traces, 3 Preserved, 27 Remained 
Map_CollectionViewAdd @ ModulesLoader.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ NodeTypeManager.java:157: 4 Unique Traces, 271 Redundant Traces, 3 Preserved, 41 Remained 
Map_CollectionViewAdd @ RatingTest.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SubjectManager.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SubjectManager.java:28: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_UnsafeIterator @ AbstractApplicationContext.java:702: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ AddMethodInvokeTest.java:67: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ ClassUtils.java:85: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ ConfigurationLoader.java:171: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ ConstructorArgumentValues.java:73: 8 Unique Traces, 8 Redundant Traces, 7 Preserved, 7 Remained 
Map_UnsafeIterator @ DbUnitModule.java:428: 5 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Map_UnsafeIterator @ DefaultSingletonBeanRegistry.java:505: 3 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ ExpressLoader.java:69: 110188 Unique Traces, 603 Redundant Traces, 104259 Preserved, 215 Remained 
Map_UnsafeIterator @ InstructionSet.java:156: 22 Unique Traces, 220799 Redundant Traces, 22 Preserved, 220799 Remained 
Map_UnsafeIterator @ InstructionSet.java:294: 10053 Unique Traces, 469 Redundant Traces, 10053 Preserved, 469 Remained 
Map_UnsafeIterator @ ModulesLoader.java:129: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ NodeTypeManager.java:157: 28 Unique Traces, 613 Redundant Traces, 28 Preserved, 613 Remained 
Map_UnsafeIterator @ RatingTest.java:48: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SubjectManager.java:26: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SubjectManager.java:28: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Reader_ManipulateAfterClose @ DefaultExpressResourceLoader.java:23: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Reader_ManipulateAfterClose @ PrintLineExceptionTest.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ XmlValidationModeDetector.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AClassDefineSingleTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AddMethodInvokeTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ApproveOperator.java:15: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ ApproveOperator.java:18: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:96: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArgumentTypeMismatchTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArrayTest.java:55: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ ArrayTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BeanExample.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BeanExample.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BeanExample.java:71: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ BeanExample.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BeanExample.java:80: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BitTest.java:51: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ CheckSyntaxTest.java:27: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CheckSyntaxTest.java:44: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ CompileMemoryTest.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ConfigUtils.java:74: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ConfigUtils.java:93: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ConfigUtils.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConfigurationLoader.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConfigurationLoader.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CustBean.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CustomClassLoaderTest.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CustomClassLoaderTest.java:19: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CustomClassLoaderTest.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CustomClassLoaderTest.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DateFormatTest.java:53: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DateFormatTest.java:61: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DefaultExpressResourceLoader.java:12: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ DefaultExpressResourceLoader.java:21: 8 Unique Traces, 5 Redundant Traces, 8 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ DefineInstructionFactory.java:25: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ DefineInstructionFactory.java:30: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ DefineInstructionFactory.java:32: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ DefineInstructionFactory.java:33: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ DefineInstructionFactory.java:36: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ DefineTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefineTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefineTest.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DemoShowTest.java:99: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ ExpressCacheTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ExpressCacheTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ExpressLoader.java:50: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 5 Remained 
